Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1246198,-,-,-,40.77,-73.94,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,-6,162.25,0.0,1.6,0.398,255.70000000000002,74.05,-3,1020.0
2015,1,1,0,30,0,0,0,1,-6,161.09,0.0,1.9000000000000001,0.393,255.70000000000002,74.04,-3,1020.0
2015,1,1,1,0,0,0,0,1,-6,158.11,0.0,2.2,0.389,254.9,75.42,-3,1020.0
2015,1,1,1,30,0,0,0,4,-6,153.93,0.0,2.4000000000000004,0.364,254.9,75.42,-3,1020.0
2015,1,1,2,0,0,0,0,4,-6,149.05,0.0,2.6,0.34,258.90000000000003,75.83,-3,1020.0
2015,1,1,2,30,0,0,0,0,-6,143.77,0.0,2.6,0.32,258.90000000000003,75.82000000000001,-3,1020.0
2015,1,1,3,0,0,0,0,1,-6,138.27,0.0,2.7,0.301,264.0,74.12,-3,1020.0
2015,1,1,3,30,0,0,0,1,-6,132.65,0.0,2.6,0.312,264.0,74.13,-3,1020.0
2015,1,1,4,0,0,0,0,0,-7,126.98,0.0,2.5,0.324,266.1,76.9,-3,1020.0
2015,1,1,4,30,0,0,0,1,-7,121.3,0.0,2.3000000000000003,0.341,266.1,76.91,-3,1020.0
2015,1,1,5,0,0,0,0,0,-7,115.67,0.0,2.2,0.359,268.2,74.73,-4,1020.0
2015,1,1,5,30,0,0,0,1,-7,110.10000000000001,0.0,2.0,0.373,268.2,74.73,-4,1020.0
2015,1,1,6,0,0,0,0,1,-7,104.63,0.0,1.8,0.388,266.90000000000003,73.91,-4,1020.0
2015,1,1,6,30,0,0,0,1,-7,99.3,0.0,1.6,0.41100000000000003,266.90000000000003,73.92,-4,1020.0
2015,1,1,7,0,0,0,0,0,-7,94.15,0.0,1.5,0.435,260.1,79.94,-4,1020.0
2015,1,1,7,30,0,0,0,0,-7,89.2,0.0,1.7000000000000002,0.456,260.1,74.16,-3,1020.0
2015,1,1,8,0,29,426,70,0,-7,84.52,0.0,2.0,0.47900000000000004,253.60000000000002,70.33,-3,1020.0
2015,1,1,8,30,44,591,145,1,-7,80.14,0.0,2.3000000000000003,0.47500000000000003,253.60000000000002,65.31,-2,1020.0
2015,1,1,9,0,53,700,221,0,-7,76.14,0.0,2.6,0.47100000000000003,252.10000000000002,64.49,-1,1020.0
2015,1,1,9,30,60,769,290,1,-7,72.57000000000001,0.0,2.7,0.455,252.10000000000002,59.910000000000004,0,1020.0
2015,1,1,10,0,64,821,351,0,-7,69.52,0.0,2.9000000000000004,0.441,250.10000000000002,55.04,0,1020.0
2015,1,1,10,30,104,581,331,4,-7,67.05,0.0,2.9000000000000004,0.432,250.10000000000002,54.99,0,1020.0
2015,1,1,11,0,115,585,360,4,-7,65.23,0.0,3.0,0.423,244.9,57.25,0,1010.0
2015,1,1,11,30,71,886,458,1,-7,64.11,0.0,3.0,0.429,244.9,57.19,0,1010.0
2015,1,1,12,0,72,887,465,1,-6,63.75,0.0,3.0,0.435,239.3,56.14,1,1010.0
2015,1,1,12,30,72,882,457,1,-6,64.15,0.0,3.0,0.452,239.3,56.11,1,1010.0
2015,1,1,13,0,75,852,431,1,-6,65.29,0.0,3.0,0.47100000000000003,236.60000000000002,59.32,2,1010.0
2015,1,1,13,30,72,830,395,0,-6,67.14,0.0,2.9000000000000004,0.483,236.60000000000002,59.300000000000004,2,1010.0
2015,1,1,14,0,68,796,346,0,-5,69.64,0.0,2.9000000000000004,0.496,236.5,58.160000000000004,2,1010.0
2015,1,1,14,30,63,748,285,0,-5,72.71000000000001,0.0,2.7,0.493,236.5,62.46,2,1010.0
2015,1,1,15,0,53,694,218,0,-4,76.3,0.0,2.5,0.49,237.9,66.46000000000001,2,1010.0
2015,1,1,15,30,43,588,142,0,-4,80.32000000000001,0.0,2.4000000000000004,0.496,237.9,71.43,1,1010.0
2015,1,1,16,0,28,434,68,0,-4,84.71000000000001,0.0,2.3000000000000003,0.503,237.60000000000002,73.97,1,1010.0
2015,1,1,16,30,0,0,0,0,-4,89.4,0.0,2.4000000000000004,0.539,237.60000000000002,73.97,0,1010.0
2015,1,1,17,0,0,0,0,0,-3,94.36,0.0,2.5,0.5760000000000001,236.8,75.4,0,1010.0
2015,1,1,17,30,0,0,0,0,-3,99.53,0.0,2.6,0.617,236.8,75.41,0,1010.0
2015,1,1,18,0,0,0,0,0,-3,104.86,0.0,2.7,0.659,236.60000000000002,77.01,0,1010.0
2015,1,1,18,30,0,0,0,0,-3,110.33,0.0,2.7,0.6890000000000001,236.60000000000002,77.02,0,1010.0
2015,1,1,19,0,0,0,0,0,-3,115.9,0.0,2.7,0.719,236.9,78.47,0,1010.0
2015,1,1,19,30,0,0,0,0,-3,121.54,0.0,2.6,0.753,236.9,78.46000000000001,0,1010.0
2015,1,1,20,0,0,0,0,0,-3,127.21000000000001,0.0,2.5,0.788,237.20000000000002,79.88,0,1010.0
2015,1,1,20,30,0,0,0,0,-3,132.88,0.0,2.4000000000000004,0.8240000000000001,237.20000000000002,79.87,0,1010.0
2015,1,1,21,0,0,0,0,0,-2,138.49,0.0,2.3000000000000003,0.861,240.10000000000002,81.35000000000001,0,1010.0
2015,1,1,21,30,0,0,0,1,-2,143.98,0.0,2.1,0.899,240.10000000000002,81.35000000000001,0,1010.0
2015,1,1,22,0,0,0,0,4,-2,149.24,0.0,2.0,0.9390000000000001,245.20000000000002,83.07000000000001,0,1010.0
2015,1,1,22,30,0,0,0,0,-2,154.09,0.0,1.9000000000000001,0.968,245.20000000000002,83.09,0,1010.0
2015,1,1,23,0,0,0,0,1,-2,158.22,0.0,1.9000000000000001,0.997,251.70000000000002,84.22,0,1010.0
2015,1,1,23,30,0,0,0,4,-2,161.12,0.0,1.8,1.008,251.70000000000002,84.23,0,1010.0
2015,1,2,0,0,0,0,0,1,-2,162.17000000000002,0.0,1.7000000000000002,1.018,256.40000000000003,84.25,0,1010.0
2015,1,2,0,30,0,0,0,0,-2,161.05,0.0,1.6,1.02,256.40000000000003,84.26,0,1010.0
2015,1,2,1,0,0,0,0,4,-2,158.1,0.0,1.6,1.02,260.6,83.78,0,1010.0
2015,1,2,1,30,0,0,0,1,-2,153.94,0.0,1.6,1.016,260.6,83.8,0,1010.0
2015,1,2,2,0,0,0,0,0,-2,149.07,0.0,1.6,1.01,264.8,83.58,0,1010.0
2015,1,2,2,30,0,0,0,1,-2,143.8,0.0,1.6,0.996,264.8,83.60000000000001,0,1010.0
2015,1,2,3,0,0,0,0,0,-2,138.31,0.0,1.6,0.982,268.0,88.98,0,1010.0
2015,1,2,3,30,0,0,0,1,-2,132.69,0.0,1.5,0.9550000000000001,268.0,89.01,0,1010.0
2015,1,2,4,0,0,0,0,1,-2,127.02,0.0,1.5,0.929,269.1,88.06,-1,1010.0
2015,1,2,4,30,0,0,0,1,-2,121.34,0.0,1.5,0.903,269.1,88.11,-1,1010.0
2015,1,2,5,0,0,0,0,4,-2,115.7,0.0,1.5,0.877,266.40000000000003,87.54,-1,1010.0
2015,1,2,5,30,0,0,0,1,-2,110.13,0.0,1.5,0.857,266.40000000000003,87.60000000000001,-1,1020.0
2015,1,2,6,0,0,0,0,1,-2,104.67,0.0,1.6,0.837,264.7,86.92,-1,1020.0
2015,1,2,6,30,0,0,0,1,-2,99.33,0.0,1.6,0.8250000000000001,264.7,86.97,-1,1020.0
2015,1,2,7,0,0,0,0,0,-3,94.17,0.0,1.7000000000000002,0.8140000000000001,264.8,85.97,-1,1020.0
2015,1,2,7,30,0,0,0,4,-3,89.21000000000001,0.0,1.8,0.81,264.8,79.97,0,1020.0
2015,1,2,8,0,33,348,66,4,-2,84.52,0.0,1.9000000000000001,0.806,264.0,81.46000000000001,0,1020.0
2015,1,2,8,30,50,515,138,1,-2,80.14,0.0,2.0,0.803,264.0,81.5,0,1020.0
2015,1,2,9,0,94,91,116,4,-2,76.13,0.0,2.2,0.801,261.2,76.74,1,1020.0
2015,1,2,9,30,103,357,210,4,-2,72.55,0.0,2.5,0.8,261.2,76.75,2,1020.0
2015,1,2,10,0,104,497,279,4,-3,69.48,0.0,2.8000000000000003,0.799,267.5,67.85,3,1020.0
2015,1,2,10,30,137,407,296,4,-3,67.0,0.0,2.8000000000000003,0.796,267.5,67.83,3,1020.0
